GeoFIPS,GeoName,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01001,"Autauga, AL",2.9,15.5,1.1,6.7,1.7,-8.8,2.5,7.1,6.0,15.6,-6.3,0.7,8.3,4.6,-4.5,1.4,-2.7,0.6,-0.7,8.4,1.3,-7.8
01003,"Baldwin, AL",6.1,10.0,11.0,2.8,2.9,-3.4,-4.9,1.5,-1.4,1.1,5.3,2.2,4.7,5.3,3.8,5.1,5.0,-0.4,7.2,6.1,7.6,2.8
01005,"Barbour, AL",2.8,8.4,0.0,-2.3,-3.3,-6.0,-2.0,1.6,-6.0,-3.4,12.5,-4.9,-2.3,-1.3,-1.2,1.6,-1.5,-3.7,3.2,-1.2,-2.4,2.4
01007,"Bibb, AL",4.8,4.6,0.2,-0.6,6.6,0.0,-2.2,8.2,1.8,-0.8,0.2,-0.9,-3.0,1.9,1.3,-2.4,11.1,4.7,-0.3,-0.4,2.8,0.9
01009,"Blount, AL",3.6,2.4,2.0,-3.6,-0.8,1.3,-1.5,0.0,-4.9,8.8,0.1,3.4,5.4,-7.0,4.7,5.9,-3.3,-10.3,13.9,0.8,4.3,8.2
01011,"Bullock, AL",-1.3,-1.3,-1.4,3.5,-6.0,-0.7,12.6,-5.6,-4.4,7.2,-8.8,-6.0,-2.0,9.6,0.4,4.9,3.6,1.9,-3.0,-1.9,9.1,3.9
01013,"Butler, AL",4.5,4.8,-1.5,-0.8,6.3,-2.4,-6.4,16.4,4.1,-2.1,1.1,0.4,3.9,-1.4,3.0,3.7,-2.4,-5.5,6.2,1.1,2.8,5.6
01015,"Calhoun, AL",4.0,8.2,5.6,0.0,2.9,1.5,-5.5,4.4,-5.2,0.1,-2.6,-3.7,-1.0,1.3,1.0,2.3,5.2,-1.9,5.3,-1.1,3.9,2.5
01017,"Chambers, AL",-7.9,9.0,-4.8,-5.5,-1.0,-12.6,-5.6,8.4,9.4,-2.2,4.8,-1.2,2.6,2.1,-0.3,4.3,3.1,-5.9,-0.9,0.1,7.0,5.6
01019,"Cherokee, AL",5.6,8.7,-2.1,4.1,4.3,3.6,-8.9,6.6,1.1,3.0,7.3,-1.8,2.0,-1.1,-0.7,6.0,-2.8,-7.0,11.5,2.1,-0.8,4.8
01021,"Chilton, AL",4.5,6.5,2.3,1.7,1.0,-4.8,-2.0,3.0,8.0,3.6,5.7,-6.2,3.4,3.5,1.1,5.0,8.0,-3.9,2.6,4.1,4.5,5.4
01023,"Choctaw, AL",-5.9,15.7,10.8,6.8,-15.5,-4.0,-33.0,6.2,9.4,21.6,0.9,-1.4,-5.5,-1.7,1.8,8.4,-7.1,0.3,2.1,-7.3,0.6,3.6
01025,"Clarke, AL",0.6,9.1,4.6,5.4,-1.5,-4.0,-2.1,-4.1,1.4,5.5,3.5,-4.2,-1.5,0.0,-2.7,3.6,-1.0,1.7,-0.8,-5.9,3.7,1.3
01027,"Clay, AL",-6.3,11.1,11.1,9.4,-17.0,-7.3,-7.3,2.1,-8.0,2.7,8.0,3.4,4.8,4.8,7.4,18.9,-9.1,-0.3,3.5,1.8,-8.0,3.9
01029,"Cleburne, AL",-1.5,4.7,5.1,-6.9,-7.8,6.1,-4.4,3.8,-10.3,10.7,6.4,7.1,5.5,-3.1,-3.7,2.2,-7.4,-1.5,14.8,3.3,2.3,9.1
01031,"Coffee, AL",0.4,8.4,3.5,-2.5,4.0,2.3,2.5,2.3,-6.0,1.9,1.0,4.1,5.7,0.4,0.3,2.4,-1.3,-2.6,15.0,6.1,-0.1,6.3
