team_key,school,nickname,current_power4_conference,city,state,location,season,season_conference,wins,losses,ties,games,record,win_pct,record_basis,location_source_url,season_record_source_url
1,Boston College,Eagles,ACC,Chestnut Hill,MA,"Chestnut Hill, MA",2010,ACC,7,6,0,13,7-6,0.538,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2010
1,Boston College,Eagles,ACC,Chestnut Hill,MA,"Chestnut Hill, MA",2011,ACC,4,8,0,12,4-8,0.333,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2011
1,Boston College,Eagles,ACC,Chestnut Hill,MA,"Chestnut Hill, MA",2012,ACC,2,10,0,12,2-10,0.167,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2012
1,Boston College,Eagles,ACC,Chestnut Hill,MA,"Chestnut Hill, MA",2013,ACC,7,6,0,13,7-6,0.538,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2013
1,Boston College,Eagles,ACC,Chestnut Hill,MA,"Chestnut Hill, MA",2014,ACC,7,6,0,13,7-6,0.538,listed overall record on season standings page,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://en.wikipedia.org/wiki/2014_NCAA_Division_I_FBS_football_season#Conference_standings
1,Boston College,Eagles,ACC,Chestnut Hill,MA,"Chestnut Hill, MA",2015,ACC,3,9,0,12,3-9,0.25,listed overall record on season standings page,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://en.wikipedia.org/wiki/2015_NCAA_Division_I_FBS_football_season#Conference_standings
1,Boston College,Eagles,ACC,Chestnut Hill,MA,"Chestnut Hill, MA",2016,ACC,7,6,0,13,7-6,0.538,listed overall record on season standings page,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://en.wikipedia.org/wiki/2016_NCAA_Division_I_FBS_football_season#Conference_standings
1,Boston College,Eagles,ACC,Chestnut Hill,MA,"Chestnut Hill, MA",2017,ACC,7,6,0,13,7-6,0.538,listed overall record on season standings page,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://en.wikipedia.org/wiki/2017_NCAA_Division_I_FBS_football_season#Conference_standings
1,Boston College,Eagles,ACC,Chestnut Hill,MA,"Chestnut Hill, MA",2018,ACC,7,5,0,12,7-5,0.583,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2018
1,Boston College,Eagles,ACC,Chestnut Hill,MA,"Chestnut Hill, MA",2019,ACC,6,7,0,13,6-7,0.462,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2019
