CAGDP1 County gross domestic product (GDP) summary
CAGDP1 County gross domestic product (GDP) summary
County
GeoFIPS,GeoName,2003,2004,2005,2006
01001,"Autauga, AL",2.9,15.5,1.1,6.7
01003,"Baldwin, AL",6.1,10.0,11.0,2.8
01005,"Barbour, AL",2.8,8.4,0.0,-2.3
01007,"Bibb, AL",4.8,4.6,0.2,-0.6
01009,"Blount, AL",3.6,2.4,2.0,-3.6
01011,"Bullock, AL",-1.3,-1.3,-1.4,3.5
01013,"Butler, AL",4.5,4.8,-1.5,-0.8
01015,"Calhoun, AL",4.0,8.2,5.6,0.0
01017,"Chambers, AL",-7.9,9.0,-4.8,-5.5
01019,"Cherokee, AL",5.6,8.7,-2.1,4.1
01021,"Chilton, AL",4.5,6.5,2.3,1.7
01023,"Choctaw, AL",-5.9,15.7,10.8,6.8
01025,"Clarke, AL",0.6,9.1,4.6,5.4
01027,"Clay, AL",-6.3,11.1,11.1,9.4
01029,"Cleburne, AL",-1.5,4.7,5.1,-6.9
01031,"Coffee, AL",0.4,8.4,3.5,-2.5
01033,"Colbert, AL",8.7,5.8,3.0,0.5
01035,"Conecuh, AL",1.3,9.0,15.1,16.1
01037,"Coosa, AL",-2.2,4.8,8.0,6.4
01039,"Covington, AL",-4.2,9.2,-1.8,-0.3
01041,"Crenshaw, AL",7.7,11.0,19.2,3.3
01043,"Cullman, AL",4.8,9.2,4.9,-2.1
01045,"Dale, AL",3.1,7.0,10.8,4.0
01047,"Dallas, AL",-0.6,6.7,4.7,1.8
01049,"DeKalb, AL",2.4,8.7,-1.8,2.8
01051,"Elmore, AL",8.3,10.8,5.2,0.3
01053,"Escambia, AL",-2.1,7.7,6.1,2.0
01055,"Etowah, AL",1.9,5.7,0.9,-3.4
01057,"Fayette, AL",2.3,5.7,2.6,-1.4
01059,"Franklin, AL",3.3,9.8,3.2,-5.4
01061,"Geneva, AL",0.8,-0.3,5.7,-1.4
01063,"Greene, AL",3.6,8.9,4.0,-1.9
01065,"Hale, AL",12.4,4.6,4.4,5.8
01067,"Henry, AL",-4.5,2.0,7.9,-0.7
01069,"Houston, AL",2.2,4.0,1.2,2.2
01071,"Jackson, AL",0.4,10.9,3.8,-1.1
01073,"Jefferson, AL",1.0,4.7,1.4,-1.7
01075,"Lamar, AL",-7.3,7.0,4.0,-2.4
01077,"Lauderdale, AL",1.6,5.5,2.7,0.5
01079,"Lawrence, AL",21.4,29.8,-31.6,-9.7
01081,"Lee, AL",6.7,11.7,4.9,3.1
01083,"Limestone, AL",8.2,4.8,3.4,5.1
01085,"Lowndes, AL",19.2,11.8,-4.0,9.3
01087,"Macon, AL",1.3,7.9,1.4,1.3
01089,"Madison, AL",6.0,8.3,5.9,3.4
01091,"Marengo, AL",-0.8,7.5,6.9,1.8
01093,"Marion, AL",-1.4,12.4,8.5,1.0
01095,"Marshall, AL",3.2,8.2,2.0,-1.2
01097,"Mobile, AL",1.7,3.0,4.4,6.6
01099,"Monroe, AL",0.9,11.4,4.7,4.3
01101,"Montgomery, AL",2.6,3.6,4.3,2.1
01103,"Morgan, AL",6.1,9.5,-0.4,2.8
01105,"Perry, AL",8.8,-0.8,10.4,0.5
01107,"Pickens, AL",0.8,6.4,7.4,-11.1
01109,"Pike, AL",5.4,9.2,4.6,2.2
01111,"Randolph, AL",-0.7,12.8,0.0,-2.4
01113,"Russell, AL",-2.9,8.0,2.2,4.3
01115,"St. Clair, AL",3.3,7.1,3.8,-0.9
01117,"Shelby, AL",7.0,6.9,14.1,5.3
01119,"Sumter, AL",1.2,1.9,6.0,-2.6
01121,"Talladega, AL",10.5,15.1,8.2,2.7
01123,"Tallapoosa, AL",8.0,12.8,9.5,-12.1
01125,"Tuscaloosa, AL",7.4,7.6,5.2,1.0
01127,"Walker, AL",5.8,4.7,3.8,-1.8
01129,"Washington, AL",3.0,8.7,-7.6,10.0
01131,"Wilcox, AL",-6.5,16.9,5.7,3.7
01133,"Winston, AL",-3.1,7.1,6.3,0.7
02013,"Aleutians East Borough, AK",17.9,22.9,-3.4,-3.1
02016,"Aleutians West Census Area, AK",18.0,5.5,25.3,-11.7
02020,"Anchorage Municipality, AK",2.1,2.4,4.0,-0.2
02050,"Bethel Census Area, AK",4.8,0.5,1.1,-4.3
02060,"Bristol Bay Borough, AK",14.7,6.1,17.0,5.2
02063,"Chugach Census Area, AK*",(NA),(NA),(NA),(NA)
02066,"Copper River Census Area, AK*",(NA),(NA),(NA),(NA)
02068,"Denali Borough, AK",-2.8,8.3,3.7,0.2
02070,"Dillingham Census Area, AK",2.6,0.1,4.5,1.5
02090,"Fairbanks North Star Borough, AK",1.5,0.9,9.4,3.8
02100,"Haines Borough, AK",-0.4,8.7,6.7,1.4
02105,"Hoonah-Angoon Census Area, AK*",(NA),(NA),(NA),(NA)
02110,"Juneau City and Borough, AK",2.8,1.4,2.9,10.3
02122,"Kenai Peninsula Borough, AK",4.1,4.2,-14.2,4.4
02130,"Ketchikan Gateway Borough, AK*",0.1,-0.5,6.0,0.1
02150,"Kodiak Island Borough, AK",5.4,0.5,2.4,-0.3
02158,"Kusilvak Census Area, AK*",8.7,-0.4,-3.3,-5.9
02164,"Lake and Peninsula Borough, AK",-8.7,1.1,2.1,8.9
02170,"Matanuska-Susitna Borough, AK",7.0,4.4,7.7,-3.1
02180,"Nome Census Area, AK",3.0,2.2,2.4,-0.7
02185,"North Slope Borough, AK",-22.9,12.6,5.3,23.7
02188,"Northwest Arctic Borough, AK",-0.9,7.6,3.1,33.3
02195,"Petersburg Borough, AK*",(NA),(NA),(NA),(NA)
02198,"Prince of Wales-Hyder Census Area, AK*",(NA),(NA),(NA),(NA)
