CAGDP1 County gross domestic product (GDP) summary
CAGDP1 County gross domestic product (GDP) summary
County
GeoFIPS,GeoName,2007,2008,2009,2010,2011,2012
01001,"Autauga, AL",1.7,-8.8,2.5,7.1,6.0,15.6
01003,"Baldwin, AL",2.9,-3.4,-4.9,1.5,-1.4,1.1
01005,"Barbour, AL",-3.3,-6.0,-2.0,1.6,-6.0,-3.4
01007,"Bibb, AL",6.6,0.0,-2.2,8.2,1.8,-0.8
01009,"Blount, AL",-0.8,1.3,-1.5,0.0,-4.9,8.8
01011,"Bullock, AL",-6.0,-0.7,12.6,-5.6,-4.4,7.2
01013,"Butler, AL",6.3,-2.4,-6.4,16.4,4.1,-2.1
01015,"Calhoun, AL",2.9,1.5,-5.5,4.4,-5.2,0.1
01017,"Chambers, AL",-1.0,-12.6,-5.6,8.4,9.4,-2.2
01019,"Cherokee, AL",4.3,3.6,-8.9,6.6,1.1,3.0
01021,"Chilton, AL",1.0,-4.8,-2.0,3.0,8.0,3.6
01023,"Choctaw, AL",-15.5,-4.0,-33.0,6.2,9.4,21.6
01025,"Clarke, AL",-1.5,-4.0,-2.1,-4.1,1.4,5.5
01027,"Clay, AL",-17.0,-7.3,-7.3,2.1,-8.0,2.7
01029,"Cleburne, AL",-7.8,6.1,-4.4,3.8,-10.3,10.7
01031,"Coffee, AL",4.0,2.3,2.5,2.3,-6.0,1.9
01033,"Colbert, AL",-0.8,1.2,-11.0,11.2,4.6,-0.1
01035,"Conecuh, AL",4.6,0.0,-0.2,-10.6,9.1,13.7
01037,"Coosa, AL",-7.3,-8.8,0.9,-1.4,3.7,-6.6
01039,"Covington, AL",-1.3,-1.4,-0.5,6.5,-5.5,5.8
01041,"Crenshaw, AL",-11.6,0.6,-3.2,16.4,-2.7,12.2
01043,"Cullman, AL",-5.1,-1.5,-1.0,3.1,0.5,2.4
01045,"Dale, AL",0.9,4.4,2.0,4.8,-4.0,-1.4
01047,"Dallas, AL",-4.7,-4.9,-3.8,-0.6,-0.2,1.9
01049,"DeKalb, AL",-2.5,-2.3,-5.8,2.9,-9.3,1.4
01051,"Elmore, AL",4.3,1.9,2.3,4.1,-3.3,4.2
01053,"Escambia, AL",3.6,-7.6,-2.3,-2.7,-2.7,3.1
01055,"Etowah, AL",-0.5,-0.5,-1.0,1.0,0.4,-2.7
