CAGDP1 County gross domestic product (GDP) summary
CAGDP1 County gross domestic product (GDP) summary
County
GeoFIPS,GeoName,2013,2014,2015,2016,2017,2018,2019
01001,"Autauga, AL",-6.3,0.7,8.3,4.6,-4.5,1.4,-2.7
01003,"Baldwin, AL",5.3,2.2,4.7,5.3,3.8,5.1,5.0
01005,"Barbour, AL",12.5,-4.9,-2.3,-1.3,-1.2,1.6,-1.5
01007,"Bibb, AL",0.2,-0.9,-3.0,1.9,1.3,-2.4,11.1
01009,"Blount, AL",0.1,3.4,5.4,-7.0,4.7,5.9,-3.3
01011,"Bullock, AL",-8.8,-6.0,-2.0,9.6,0.4,4.9,3.6
01013,"Butler, AL",1.1,0.4,3.9,-1.4,3.0,3.7,-2.4
01015,"Calhoun, AL",-2.6,-3.7,-1.0,1.3,1.0,2.3,5.2
01017,"Chambers, AL",4.8,-1.2,2.6,2.1,-0.3,4.3,3.1
01019,"Cherokee, AL",7.3,-1.8,2.0,-1.1,-0.7,6.0,-2.8
01021,"Chilton, AL",5.7,-6.2,3.4,3.5,1.1,5.0,8.0
01023,"Choctaw, AL",0.9,-1.4,-5.5,-1.7,1.8,8.4,-7.1
01025,"Clarke, AL",3.5,-4.2,-1.5,0.0,-2.7,3.6,-1.0
01027,"Clay, AL",8.0,3.4,4.8,4.8,7.4,18.9,-9.1
01029,"Cleburne, AL",6.4,7.1,5.5,-3.1,-3.7,2.2,-7.4
01031,"Coffee, AL",1.0,4.1,5.7,0.4,0.3,2.4,-1.3
01033,"Colbert, AL",11.4,-3.1,-2.4,-4.1,-4.5,4.6,0.3
01035,"Conecuh, AL",2.7,-12.3,3.9,13.9,-4.9,-7.9,-2.5
01037,"Coosa, AL",10.0,-7.1,3.8,5.2,-2.5,5.1,-2.3
01039,"Covington, AL",4.2,-0.6,0.2,0.1,2.6,0.4,-4.5
01041,"Crenshaw, AL",7.1,-6.5,3.5,-7.1,6.2,7.8,-2.4
01043,"Cullman, AL",8.0,0.1,6.1,-1.4,1.2,0.7,2.5
01045,"Dale, AL",1.2,-5.8,1.6,-2.1,-0.2,-1.6,1.2
01047,"Dallas, AL",1.0,-0.8,-8.9,2.6,1.2,0.5,0.8
01049,"DeKalb, AL",13.3,-0.4,3.6,-3.7,5.1,4.4,-2.8
01051,"Elmore, AL",1.0,-1.6,1.1,3.1,1.1,2.0,1.7
01053,"Escambia, AL",1.9,-3.2,1.1,3.2,-0.3,-1.5,0.2
01055,"Etowah, AL",2.3,-0.1,3.3,0.4,-0.7,1.1,-2.1
01057,"Fayette, AL",-12.9,-16.1,1.8,-0.9,-4.3,-1.2,1.6
01059,"Franklin, AL",4.7,-7.6,0.5,0.2,6.5,6.3,-4.2
01061,"Geneva, AL",5.2,0.1,5.0,2.6,-8.0,2.3,5.3
01063,"Greene, AL",1.6,-5.4,-10.4,-4.0,-9.4,-0.9,6.2
01065,"Hale, AL",-1.9,-3.3,2.8,3.7,-7.7,-8.7,-0.2
01067,"Henry, AL",8.2,-1.3,7.2,3.8,1.6,2.4,2.7
01069,"Houston, AL",4.5,2.1,1.9,5.3,2.8,0.6,2.0
01071,"Jackson, AL",2.3,-1.2,-6.8,-2.8,-0.6,5.5,-2.7
01073,"Jefferson, AL",-1.3,-0.7,0.8,1.3,1.4,1.8,1.3
01075,"Lamar, AL",-2.2,-0.6,-1.6,0.4,1.7,-0.4,-1.0
01077,"Lauderdale, AL",1.9,-3.3,-1.0,-1.3,1.4,-0.1,-0.1
01079,"Lawrence, AL",-10.3,-13.2,-16.6,-10.0,4.5,4.4,0.1
01081,"Lee, AL",1.3,1.4,4.3,3.2,4.1,-0.4,3.9
01083,"Limestone, AL",2.4,0.3,1.9,3.2,3.0,-0.9,9.7
01085,"Lowndes, AL",-1.0,-0.9,-8.8,3.0,-0.8,-2.1,-8.8
01087,"Macon, AL",6.9,-5.5,-6.4,7.8,4.1,-1.3,0.2
01089,"Madison, AL",1.7,0.3,1.7,3.1,3.9,4.7,5.1
01091,"Marengo, AL",1.4,3.2,-4.0,1.2,-1.7,4.7,2.5
01093,"Marion, AL",-0.2,-0.8,2.9,-2.3,0.2,2.4,-1.8
01095,"Marshall, AL",6.7,-2.7,6.0,-0.3,4.8,2.5,1.2
01097,"Mobile, AL",1.3,-0.2,0.4,1.9,0.3,1.7,2.3
01099,"Monroe, AL",1.9,-3.3,2.2,0.3,1.8,-3.9,-4.0
01101,"Montgomery, AL",0.4,-0.9,2.2,2.9,0.3,-0.3,1.2
01103,"Morgan, AL",2.8,3.3,0.6,3.0,1.8,1.9,-0.3
01105,"Perry, AL",5.2,-11.3,-2.0,3.1,0.3,-2.0,-1.4
01107,"Pickens, AL",15.8,1.4,0.4,-1.3,4.0,-2.9,1.1
01109,"Pike, AL",0.1,5.9,2.5,3.5,1.1,0.4,0.8
01111,"Randolph, AL",18.2,3.3,3.2,-3.7,-0.7,2.6,-3.6
01113,"Russell, AL",3.8,1.4,-3.0,3.3,2.5,0.5,0.8
01115,"St. Clair, AL",-0.2,0.9,2.6,0.5,0.5,3.4,1.3
01117,"Shelby, AL",5.1,3.4,7.4,1.7,4.1,2.1,2.8
01119,"Sumter, AL",-0.9,0.5,-6.4,1.4,-5.1,-1.9,-0.2
01121,"Talladega, AL",4.9,-0.6,1.0,2.1,1.8,1.1,-0.3
01123,"Tallapoosa, AL",-2.6,3.0,4.8,5.2,-5.9,2.9,4.9
01125,"Tuscaloosa, AL",1.8,-3.0,-1.6,3.5,5.0,0.7,6.0
01127,"Walker, AL",-0.4,1.7,-0.1,3.0,0.5,0.8,-9.2
01129,"Washington, AL",4.6,5.6,-10.6,4.8,-1.6,0.9,-0.6
01131,"Wilcox, AL",8.5,-1.5,0.4,8.8,0.8,5.8,-4.3
01133,"Winston, AL",5.2,-6.1,2.2,-1.6,1.6,0.6,7.7
02013,"Aleutians East Borough, AK",14.9,-0.4,46.1,8.7,28.1,10.6,-12.7
02016,"Aleutians West Census Area, AK",6.3,1.6,0.2,2.8,75.4,-15.5,10.0
02020,"Anchorage Municipality, AK",-1.9,-0.1,4.7,1.1,-1.1,0.5,-0.9
02050,"Bethel Census Area, AK",2.8,0.0,-0.1,0.1,1.1,3.4,-3.8
02060,"Bristol Bay Borough, AK",9.4,1.1,-6.5,4.4,0.8,9.3,-7.0
02063,"Chugach Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02066,"Copper River Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA)
