CAGDP1 County gross domestic product (GDP) summary
CAGDP1 County gross domestic product (GDP) summary
County
GeoFIPS,GeoName,2020,2021,2022,2023,2024
01001,"Autauga, AL",0.6,-0.7,8.4,1.3,-7.8
01003,"Baldwin, AL",-0.4,7.2,6.1,7.6,2.8
01005,"Barbour, AL",-3.7,3.2,-1.2,-2.4,2.4
01007,"Bibb, AL",4.7,-0.3,-0.4,2.8,0.9
01009,"Blount, AL",-10.3,13.9,0.8,4.3,8.2
01011,"Bullock, AL",1.9,-3.0,-1.9,9.1,3.9
01013,"Butler, AL",-5.5,6.2,1.1,2.8,5.6
01015,"Calhoun, AL",-1.9,5.3,-1.1,3.9,2.5
01017,"Chambers, AL",-5.9,-0.9,0.1,7.0,5.6
01019,"Cherokee, AL",-7.0,11.5,2.1,-0.8,4.8
01021,"Chilton, AL",-3.9,2.6,4.1,4.5,5.4
01023,"Choctaw, AL",0.3,2.1,-7.3,0.6,3.6
01025,"Clarke, AL",1.7,-0.8,-5.9,3.7,1.3
01027,"Clay, AL",-0.3,3.5,1.8,-8.0,3.9
01029,"Cleburne, AL",-1.5,14.8,3.3,2.3,9.1
01031,"Coffee, AL",-2.6,15.0,6.1,-0.1,6.3
01033,"Colbert, AL",-1.0,2.0,4.2,3.1,2.1
01035,"Conecuh, AL",-5.6,2.7,-7.5,8.9,3.0
01037,"Coosa, AL",-5.9,0.6,5.7,-2.0,1.4
01039,"Covington, AL",0.0,4.3,-2.3,0.1,3.3
01041,"Crenshaw, AL",-19.3,12.4,9.1,1.2,7.6
01043,"Cullman, AL",-3.8,8.5,3.7,-0.4,4.5
01045,"Dale, AL",-1.5,4.8,0.1,4.3,2.3
01047,"Dallas, AL",-0.7,0.9,-0.4,2.0,2.7
01049,"DeKalb, AL",-5.9,13.3,7.5,-2.5,6.2
01051,"Elmore, AL",-2.5,4.7,1.2,8.2,7.5
01053,"Escambia, AL",-4.0,0.5,1.5,4.4,1.5
01055,"Etowah, AL",-7.7,3.3,1.9,1.4,3.4
01057,"Fayette, AL",-2.6,3.1,-0.4,5.2,1.3
01059,"Franklin, AL",-7.5,8.2,6.9,-6.0,5.4
01061,"Geneva, AL",-0.3,3.7,0.2,2.8,2.2
01063,"Greene, AL",-7.4,-7.1,2.0,5.0,1.8
01065,"Hale, AL",3.6,-7.7,-3.5,9.3,5.3
01067,"Henry, AL",1.3,3.7,0.4,4.4,5.8
01069,"Houston, AL",2.1,3.3,0.1,2.4,1.4
01071,"Jackson, AL",-5.8,5.2,1.8,2.6,2.1
01073,"Jefferson, AL",-0.8,5.2,2.5,2.5,1.4
01075,"Lamar, AL",-3.4,3.4,-3.6,2.4,1.4
01077,"Lauderdale, AL",-0.6,4.5,2.6,2.2,3.6
01079,"Lawrence, AL",1.1,6.3,7.1,7.3,-6.4
01081,"Lee, AL",-2.3,6.2,0.6,5.7,2.4
01083,"Limestone, AL",1.4,12.3,4.6,7.4,4.6
01085,"Lowndes, AL",-2.1,2.5,2.5,2.7,6.8
01087,"Macon, AL",-3.5,3.0,2.3,5.5,4.0
01089,"Madison, AL",1.9,4.9,5.5,5.9,3.4
01091,"Marengo, AL",2.6,2.2,-3.7,2.7,5.1
01093,"Marion, AL",0.0,6.7,2.8,1.1,0.6
01095,"Marshall, AL",-2.0,6.7,4.4,0.5,3.3
01097,"Mobile, AL",1.4,5.7,1.2,4.9,4.1
01099,"Monroe, AL",-3.3,0.1,-4.5,0.2,1.9
01101,"Montgomery, AL",-2.4,3.5,3.0,3.8,2.7
01103,"Morgan, AL",2.7,2.9,4.1,2.4,4.2
01105,"Perry, AL",-0.3,-6.9,-2.3,7.0,1.4
01107,"Pickens, AL",-1.7,-0.6,-8.4,4.7,3.4
01109,"Pike, AL",-1.3,11.9,0.2,1.9,4.7
01111,"Randolph, AL",-3.6,9.6,0.3,-0.3,4.1
01113,"Russell, AL",0.5,5.4,3.1,1.2,5.2
01115,"St. Clair, AL",-5.6,5.4,0.2,7.8,5.5
01117,"Shelby, AL",0.6,5.3,2.7,-0.3,0.5
01119,"Sumter, AL",1.8,-2.5,-1.3,3.3,6.4
01121,"Talladega, AL",-4.3,4.1,2.9,1.9,10.7
01123,"Tallapoosa, AL",-6.2,5.9,1.7,1.5,3.7
01125,"Tuscaloosa, AL",-5.2,1.0,-0.3,5.5,3.4
01127,"Walker, AL",-7.7,-0.6,7.1,4.0,4.7
01129,"Washington, AL",-0.1,4.1,1.8,4.6,12.9
01131,"Wilcox, AL",-5.3,-12.7,-6.4,6.7,7.5
01133,"Winston, AL",3.0,1.3,-6.9,2.8,4.2
02013,"Aleutians East Borough, AK",-19.2,14.4,8.6,19.3,-37.6
02016,"Aleutians West Census Area, AK",19.4,-5.6,-13.9,1.0,34.9
02020,"Anchorage Municipality, AK",-1.6,1.5,1.8,3.9,2.6
02050,"Bethel Census Area, AK",-3.3,-3.1,0.7,1.7,-0.5
02060,"Bristol Bay Borough, AK",-6.1,15.5,4.0,-1.7,-5.3
02063,"Chugach Census Area, AK*",(NA),3.2,6.7,-6.5,-11.2
02066,"Copper River Census Area, AK*",(NA),17.4,3.1,7.4,1.2
02068,"Denali Borough, AK",-23.3,20.8,12.1,9.2,-0.7
02070,"Dillingham Census Area, AK",-6.6,-2.5,2.5,2.7,1.1
02090,"Fairbanks North Star Borough, AK",-3.1,4.8,-3.2,0.8,6.6
02100,"Haines Borough, AK",-26.2,8.8,1.4,13.6,5.4
02105,"Hoonah-Angoon Census Area, AK*",-14.0,8.2,19.0,6.9,2.9
02110,"Juneau City and Borough, AK",-5.2,5.5,-0.3,0.5,-0.5
02122,"Kenai Peninsula Borough, AK",2.0,-3.1,-6.8,9.0,2.3
02130,"Ketchikan Gateway Borough, AK*",-14.4,4.5,2.4,7.3,2.6
02150,"Kodiak Island Borough, AK",-3.0,-1.0,6.2,0.1,-3.9
02158,"Kusilvak Census Area, AK*",-4.7,-2.1,2.1,-4.7,-0.9
02164,"Lake and Peninsula Borough, AK",-8.2,32.7,-19.1,10.0,18.5
02170,"Matanuska-Susitna Borough, AK",1.9,5.0,2.4,6.8,3.8
02180,"Nome Census Area, AK",-4.5,1.3,6.9,-0.2,4.0
02185,"North Slope Borough, AK",6.0,-4.3,-18.2,36.0,8.3
02188,"Northwest Arctic Borough, AK",4.8,-1.9,-4.9,-5.6,-5.4
02195,"Petersburg Borough, AK*",-4.4,5.5,-7.0,10.0,-4.1
02198,"Prince of Wales-Hyder Census Area, AK*",-7.3,-0.1,2.1,-2.5,-4.4
02201,"Prince of Wales-Outer Ketchikan Census Area, AK*",(NA),(NA),(NA),(NA),(NA)
02220,"Sitka City and Borough, AK",-11.4,15.1,3.9,6.7,1.8
02230,"Skagway Municipality, AK*",-37.8,11.9,14.1,17.8,7.0
02232,"Skagway-Hoonah-Angoon Census Area, AK*",(NA),(NA),(NA),(NA),(NA)
02240,"Southeast Fairbanks Census Area, AK",12.7,16.4,-7.3,-2.0,9.9
02261,"Valdez-Cordova Census Area, AK*",(NA),(NA),(NA),(NA),(NA)
02275,"Wrangell City and Borough, AK*",-5.5,-1.4,4.6,7.1,1.9
02280,"Wrangell-Petersburg Census Area, AK*",(NA),(NA),(NA),(NA),(NA)
02282,"Yakutat City and Borough, AK*",6.4,13.4,2.8,-10.3,-3.5
02290,"Yukon-Koyukuk Census Area, AK",3.1,-4.2,3.7,-4.5,3.3
04001,"Apache, AZ",0.6,-0.7,-1.8,-2.0,-0.9
04003,"Cochise, AZ",7.1,-1.7,2.4,0.7,2.4
04005,"Coconino, AZ",-8.0,7.7,2.6,2.4,4.3
04007,"Gila, AZ",5.8,7.5,-5.5,2.5,1.0
04009,"Graham, AZ",13.7,14.3,-7.9,1.1,11.8
04011,"Greenlee, AZ",16.3,22.7,-18.6,-7.2,15.2
04012,"La Paz, AZ",-1.2,10.5,-5.4,-6.5,-0.2
04013,"Maricopa, AZ",2.2,8.9,5.4,3.2,4.6
04015,"Mohave, AZ",5.1,9.7,3.5,0.4,7.9
04017,"Navajo, AZ",-0.3,2.2,2.7,2.3,4.1
04019,"Pima, AZ",0.7,5.9,2.3,4.1,2.3
04021,"Pinal, AZ",4.3,6.2,5.2,8.7,10.7
04023,"Santa Cruz, AZ",1.9,4.9,-0.4,2.9,1.5
04025,"Yavapai, AZ",2.1,9.5,-0.7,6.9,5.1
04027,"Yuma, AZ",-1.3,3.3,4.3,4.4,3.8
05001,"Arkansas, AR",2.4,10.1,-8.9,5.3,-7.9
05003,"Ashley, AR",-7.6,0.5,-1.7,7.6,6.9
05005,"Baxter, AR",-1.5,3.7,5.1,0.9,1.7
05007,"Benton, AR",5.4,9.8,4.9,3.1,8.0
05009,"Boone, AR",0.2,10.9,-1.5,3.1,4.9
05011,"Bradley, AR",-0.6,4.7,-5.5,2.8,4.4
05013,"Calhoun, AR",7.3,10.2,-13.8,-0.6,5.9
05015,"Carroll, AR",-2.7,12.2,6.7,-10.9,16.4
05017,"Chicot, AR",3.2,8.6,-11.7,4.8,1.0
05019,"Clark, AR",-0.9,1.7,-6.8,4.6,4.5
05021,"Clay, AR",3.9,11.2,-8.3,8.9,-3.1
05023,"Cleburne, AR",-2.7,5.0,0.3,-2.6,2.9
05025,"Cleveland, AR",-17.6,35.1,21.7,-8.8,26.1
05027,"Columbia, AR",-1.1,12.6,0.0,4.9,2.6
05029,"Conway, AR",1.2,9.5,1.4,-3.7,5.8
05031,"Craighead, AR",1.0,9.8,1.1,0.0,2.9
05033,"Crawford, AR",0.0,4.3,-2.6,-0.6,2.3
05035,"Crittenden, AR",-2.3,0.6,-2.2,0.2,2.6
05037,"Cross, AR",3.9,3.0,-3.9,6.7,-4.4
05039,"Dallas, AR",11.5,3.7,-10.5,5.7,2.7
05041,"Desha, AR",4.2,4.0,-8.1,4.7,-0.4
05043,"Drew, AR",-2.0,4.3,-3.9,2.5,2.7
05045,"Faulkner, AR",0.7,4.3,2.9,5.1,3.8
05047,"Franklin, AR",3.2,-0.3,10.8,-4.5,17.6
05049,"Fulton, AR",2.2,7.2,1.2,-10.6,-0.1
05051,"Garland, AR",-0.8,3.7,0.7,1.7,1.2
05053,"Grant, AR",-2.9,4.3,2.9,3.2,6.3
05055,"Greene, AR",-1.5,10.9,-10.8,9.1,0.8
05057,"Hempstead, AR",2.2,3.7,4.3,-6.7,6.1
05059,"Hot Spring, AR",1.4,7.9,8.3,0.1,6.3
05061,"Howard, AR",-3.2,16.3,3.9,-8.1,13.9
05063,"Independence, AR",-6.7,9.6,5.0,2.9,5.2
05065,"Izard, AR",-5.3,7.5,5.2,-3.0,3.8
05067,"Jackson, AR",2.6,9.1,-3.3,21.8,-2.8
05069,"Jefferson, AR",-5.9,5.9,-5.1,-3.2,-4.4
05071,"Johnson, AR",-1.3,11.6,1.9,-5.6,5.1
05073,"Lafayette, AR",-4.4,18.8,6.8,-5.2,23.7
05075,"Lawrence, AR",2.7,-1.8,0.0,3.8,-6.3
05077,"Lee, AR",-10.6,19.3,-9.9,2.9,3.3
05079,"Lincoln, AR",-0.1,17.1,-0.9,-2.6,13.4
05081,"Little River, AR",5.0,-3.4,3.1,0.1,6.3
