year,season,team,wins,losses,win_loss_perc,points_pg,points_opp_pg,points_diff_pg,g,points_total,points_opp_total,fgm_pg,fga_pg,fg_pct,fg3m_pg,fg3a_pg,fg3_pct,ftm_pg,fta_pg,ft_pct,oreb_pg,dreb_pg,reb_pg,ast_pg,tov_pg,stl_pg,blk_pg,pf_pg,off_rating,def_rating,net_rating,pace,ts_pct
2003,2003-04,Atlanta Hawks,28,54,0.341,92.8,97.5,-4.6,82,7610,7995,34.5,79.6,0.433,5.1,15.2,0.335,18.7,24.1,0.776,12.1,30.6,42.7,20.1,16.5,7.6,5.0,22.3,99.1,103.9,-4.8,92.68,0.514
2003,2003-04,Boston Celtics,36,46,0.439,95.3,96.7,-1.5,82,7815,7929,34.7,78.2,0.443,6.7,19.5,0.346,19.2,25.5,0.75,10.4,29.8,40.1,20.5,16.2,9.4,4.0,22.4,100.7,102.2,-1.5,94.47,0.532
2003,2003-04,Chicago Bulls,23,59,0.28,89.7,96.0,-6.4,82,7355,7872,34.1,82.4,0.414,5.2,15.3,0.342,16.2,22.4,0.725,12.8,30.7,43.5,21.9,16.1,8.0,4.8,23.3,95.6,102.1,-6.5,93.23,0.486
2003,2003-04,Cleveland Cavaliers,35,47,0.427,92.9,95.5,-2.6,82,7618,7831,35.6,82.4,0.433,3.0,9.6,0.314,18.6,24.8,0.753,13.6,31.9,45.6,22.0,14.8,7.1,6.5,21.3,100.6,103.1,-2.6,91.71,0.498
2003,2003-04,Dallas Mavericks,52,30,0.634,105.2,100.8,4.4,82,8626,8266,40.5,88.2,0.459,6.2,17.8,0.348,18.0,22.6,0.796,14.3,31.0,45.3,23.9,12.2,8.0,5.3,19.6,110.4,105.9,4.5,94.62,0.536
2003,2003-04,Denver Nuggets,43,39,0.524,97.2,96.1,1.1,82,7970,7880,36.5,82.5,0.443,4.0,12.0,0.336,20.2,26.3,0.767,13.2,29.1,42.3,21.9,15.6,9.1,6.3,22.0,102.4,101.4,1.0,94.64,0.517
2003,2003-04,Detroit Pistons,54,28,0.659,90.1,84.3,5.8,82,7388,6913,33.5,77.0,0.435,4.1,11.8,0.344,19.0,25.3,0.753,12.4,30.4,42.8,20.8,15.1,8.0,7.0,20.3,100.3,93.9,6.5,89.34,0.511
2003,2003-04,Golden State Warriors,37,45,0.451,93.3,94.0,-0.7,82,7651,7708,35.1,79.4,0.442,5.2,15.6,0.334,17.9,24.7,0.725,12.2,30.9,43.1,20.5,14.8,7.0,4.7,20.6,101.5,102.6,-1.1,90.95,0.517
2003,2003-04,Houston Rockets,45,37,0.549,89.8,88.0,1.7,82,7364,7216,33.4,75.5,0.442,6.3,17.1,0.366,16.7,21.6,0.773,10.3,32.3,42.6,19.3,16.7,6.8,5.4,21.5,99.7,97.8,1.9,88.92,0.528
2003,2003-04,Indiana Pacers,61,21,0.744,91.4,85.6,5.8,82,7495,7019,33.6,77.1,0.435,5.5,15.6,0.351,18.8,24.6,0.764,11.8,29.9,41.7,21.6,14.4,8.9,5.0,20.8,102.5,96.2,6.3,88.54,0.52
2003,2003-04,Los Angeles Clippers,28,54,0.341,94.8,99.4,-4.6,82,7774,8151,34.4,80.2,0.428,4.0,12.5,0.321,22.0,28.1,0.785,14.0,29.5,43.5,20.2,16.4,7.2,4.6,22.1,101.9,106.6,-4.7,92.49,0.512
2003,2003-04,Los Angeles Lakers,56,26,0.683,98.2,94.3,3.9,82,8052,7733,36.9,81.4,0.454,4.5,13.6,0.327,19.9,28.7,0.693,12.2,30.9,43.1,23.8,13.8,8.3,4.6,21.1,104.2,100.1,4.1,93.39,0.522
2003,2003-04,Memphis Grizzlies,50,32,0.61,96.7,94.3,2.4,82,7929,7733,36.1,81.2,0.445,5.5,16.0,0.34,19.0,26.1,0.727,12.8,29.0,41.8,23.4,15.0,9.7,6.9,23.2,103.4,100.8,2.6,92.6,0.522
2003,2003-04,Miami Heat,42,40,0.512,90.3,89.7,0.5,82,7405,7355,33.3,78.3,0.425,5.9,16.5,0.357,17.8,23.4,0.762,11.5,30.0,41.5,19.1,13.9,7.2,3.8,22.1,100.6,100.3,0.3,89.3,0.51
2003,2003-04,Milwaukee Bucks,41,41,0.5,98.0,97.0,1.1,82,8036,7954,36.2,81.1,0.447,4.9,14.0,0.35,20.7,26.7,0.775,11.7,30.5,42.2,22.8,13.5,6.8,4.7,20.3,104.6,103.5,1.1,93.2,0.528
2003,2003-04,Minnesota Timberwolves,58,24,0.707,94.5,89.1,5.5,82,7749,7306,37.0,80.1,0.462,4.0,10.9,0.363,16.6,21.3,0.781,10.7,32.3,42.9,23.0,12.7,6.8,5.6,21.1,104.2,98.5,5.7,90.24,0.528
2003,2003-04,New Jersey Nets,47,35,0.573,90.3,87.8,2.5,82,7405,7200,34.3,77.7,0.441,4.6,13.7,0.336,17.0,22.6,0.753,10.5,30.2,40.7,24.5,14.7,8.6,3.9,21.0,99.0,96.4,2.6,90.97,0.515
2003,2003-04,New Orleans Hornets,41,41,0.5,91.8,92.0,-0.1,82,7528,7544,33.8,80.5,0.42,6.5,20.3,0.319,17.7,23.6,0.751,13.3,29.5,42.8,20.9,15.0,8.6,4.2,20.9,100.7,100.6,0.1,90.59,0.505
2003,2003-04,New York Knicks,39,43,0.476,92.0,93.5,-1.5,82,7544,7667,35.1,79.4,0.442,5.0,13.6,0.364,16.8,21.1,0.793,11.6,31.0,42.6,20.7,15.7,7.4,4.8,23.1,99.7,101.3,-1.6,91.29,0.518
2003,2003-04,Orlando Magic,21,61,0.256,94.0,101.1,-7.0,82,7708,8290,35.4,82.5,0.429,5.2,15.2,0.344,18.0,24.4,0.737,12.2,28.7,40.9,19.3,13.7,6.7,3.8,21.3,101.4,108.8,-7.4,92.14,0.504
2003,2003-04,Philadelphia 76ers,33,49,0.402,88.0,90.5,-2.5,82,7216,7421,32.7,76.3,0.428,4.1,12.1,0.342,18.4,24.5,0.753,11.5,29.4,40.8,20.0,15.9,8.0,4.4,20.7,97.8,100.4,-2.6,89.26,0.505
2003,2003-04,Phoenix Suns,29,53,0.354,94.2,97.9,-3.7,82,7724,8028,36.1,81.4,0.443,5.1,14.7,0.345,17.0,22.7,0.746,11.3,29.3,40.6,19.3,15.2,9.0,4.7,22.7,100.3,104.2,-3.8,93.72,0.515
2003,2003-04,Portland Trail Blazers,41,41,0.5,90.7,92.0,-1.3,82,7437,7544,35.3,78.9,0.448,4.6,13.4,0.346,15.4,21.1,0.731,12.7,29.0,41.7,21.6,14.8,7.5,5.4,19.0,102.1,103.5,-1.5,87.54,0.515
2003,2003-04,Sacramento Kings,55,27,0.671,102.8,97.8,5.0,82,8430,8020,37.8,81.8,0.462,7.3,18.3,0.401,19.8,24.9,0.795,10.8,30.4,41.2,26.2,13.9,8.7,4.0,19.3,108.6,103.2,5.4,94.25,0.554
2003,2003-04,San Antonio Spurs,57,25,0.695,91.5,84.3,7.2,82,7503,6913,34.7,78.5,0.442,5.0,13.9,0.358,17.2,25.2,0.681,12.5,32.5,45.1,20.4,14.7,8.1,6.5,20.3,101.0,93.1,7.9,90.23,0.511
2003,2003-04,Seattle SuperSonics,37,45,0.451,97.1,97.8,-0.6,82,7962,8020,35.8,80.4,0.446,8.8,23.6,0.373,16.6,21.7,0.765,11.1,28.3,39.3,21.7,14.5,8.1,4.7,21.8,105.6,106.4,-0.8,91.34,0.54
2003,2003-04,Utah Jazz,42,40,0.512,88.7,89.9,-1.2,82,7273,7372,32.8,75.3,0.436,3.1,9.6,0.321,20.0,26.8,0.746,13.5,27.7,41.2,20.4,16.6,7.1,6.0,25.6,100.0,101.3,-1.3,88.26,0.509
2003,2003-04,Washington Wizards,25,57,0.305,91.8,97.4,-5.6,82,7528,7987,33.6,80.0,0.421,5.3,15.5,0.342,19.3,27.0,0.714,13.6,29.2,42.8,18.7,17.5,8.9,5.0,20.9,97.2,102.9,-5.7,93.9,0.5
2004,2004-05,Atlanta Hawks,13,69,0.159,92.7,102.5,-9.7,82,7601,8405,35.9,81.4,0.441,3.7,11.9,0.312,17.3,24.3,0.711,13.4,28.5,41.9,19.7,16.1,7.7,4.2,24.5,98.8,109.0,-10.2,93.09,0.504
2004,2004-05,Boston Celtics,45,37,0.549,101.3,100.4,0.9,82,8307,8233,37.1,79.4,0.468,5.3,15.3,0.349,21.6,28.3,0.764,11.1,29.7,40.8,22.1,15.8,8.1,5.2,24.4,105.9,105.1,0.8,94.61,0.551
2004,2004-05,Charlotte Bobcats,18,64,0.22,94.3,100.2,-6.0,82,7733,8216,36.1,83.6,0.432,3.9,10.7,0.363,18.1,25.6,0.709,13.2,28.5,41.7,21.9,14.5,8.5,5.4,23.1,99.8,106.0,-6.2,93.54,0.497
2004,2004-05,Chicago Bulls,47,35,0.573,94.5,93.4,1.1,82,7749,7659,34.7,80.4,0.432,6.2,17.5,0.357,18.7,25.0,0.75,12.2,31.6,43.8,21.3,16.7,7.0,4.5,24.7,100.5,99.1,1.4,93.41,0.517
2004,2004-05,Cleveland Cavaliers,42,40,0.512,96.5,95.7,0.8,82,7913,7847,36.5,81.5,0.447,3.7,11.0,0.332,19.9,26.5,0.752,13.6,28.7,42.3,22.6,13.9,8.0,5.6,22.6,105.3,104.7,0.6,90.72,0.518
2004,2004-05,Dallas Mavericks,58,24,0.707,102.5,96.8,5.7,82,8405,7938,37.3,81.6,0.457,5.6,15.5,0.364,22.3,28.2,0.789,12.1,30.9,42.9,19.6,13.4,8.6,5.6,22.3,108.5,102.6,5.9,94.18,0.545
2004,2004-05,Denver Nuggets,49,33,0.598,99.5,97.5,2.0,82,8159,7995,37.0,80.7,0.459,3.9,11.5,0.34,21.5,28.2,0.763,11.8,30.2,42.0,23.9,14.9,9.1,6.0,22.9,104.7,102.6,2.2,94.68,0.535
2004,2004-05,Detroit Pistons,54,28,0.659,93.3,89.5,3.9,82,7651,7339,34.8,78.3,0.444,4.4,12.8,0.345,19.4,26.2,0.739,12.9,30.6,43.4,21.8,13.8,7.0,6.1,20.0,103.9,99.6,4.3,88.59,0.519
2004,2004-05,Golden State Warriors,34,48,0.415,98.7,100.9,-2.2,82,8093,8274,36.9,85.8,0.43,7.6,21.6,0.352,17.2,23.8,0.722,13.0,29.7,42.7,22.1,13.6,7.8,5.1,22.4,103.4,105.5,-2.2,94.45,0.512
2004,2004-05,Houston Rockets,51,31,0.622,95.1,91.0,4.0,82,7798,7462,34.7,78.3,0.443,6.7,18.5,0.364,18.9,24.2,0.781,10.7,31.7,42.4,21.1,13.8,6.9,4.6,22.0,104.4,100.1,4.3,90.18,0.534
2004,2004-05,Indiana Pacers,44,38,0.537,93.0,92.2,0.8,82,7626,7560,32.5,75.2,0.432,6.6,19.2,0.344,21.3,26.9,0.792,10.6,29.5,40.1,18.2,14.3,7.5,4.4,23.0,103.7,102.7,1.0,88.71,0.534
2004,2004-05,Los Angeles Clippers,37,45,0.451,95.7,96.5,-0.8,82,7847,7913,35.7,77.7,0.459,2.8,8.2,0.345,21.6,27.7,0.778,12.0,29.9,41.9,23.2,15.7,7.3,5.1,22.2,103.8,104.5,-0.8,90.66,0.533
