GEOID,NAME,median_household_income,labor_force,unemployed,unemployment_rate,median_home_value,median_gross_rent,housing_units,owner_occupied,homeownership_rate,poverty_universe,below_poverty,poverty_rate,edu_universe_25plus,bachelors_plus_rate,total_population,race_white_nonhispanic_rate,race_black_nonhispanic_rate,race_aian_nonhispanic_rate,race_asian_nonhispanic_rate,race_nhpi_nonhispanic_rate,race_other_nonhispanic_rate,race_two_plus_nonhispanic_rate,hispanic_or_latino_rate,pop_under_18_rate,pop_18_to_64_rate,pop_65plus_rate
10100,"Aberdeen, SD Micro Area",70693,23522,816,3.4690927642207297,195700,752,17577,11846,67.39489105080503,41043,4205,10.245352435250835,28243,32.34075700173494,42292,86.34257069895015,2.076042750401967,2.8326870330086065,3.102241558687222,0.03073867398089473,0.009458053532582994,1.9814622150761372,3.624799016362432,23.221885935874397,58.76288659793815,18.015227466187458
10140,"Aberdeen, WA Micro Area",59105,31365,1993,6.354216483341305,249900,943,29542,21045,71.23756008394828,72532,10806,14.898251806099378,55194,17.177591767221077,75672,77.57294640025373,1.400782323712866,3.5971032878739826,1.1853790041230574,0.37662543609261023,0.15593614546992285,4.893487683687494,10.817739718786342,20.07743947563167,57.607833809070726,22.3147267152976
10180,"Abilene, TX Metro Area",61924,85989,2245,2.61079905569317,158300,1050,65075,40831,62.74452554744525,164028,23074,14.067110493330407,111552,25.86506741250717,176656,62.57019291730821,7.438751018929445,0.08943936237659632,1.9240784349243727,0.022076804637261117,0.4862557739335205,2.787904175346436,24.681301512544156,23.368014672584007,61.40861335024002,15.223371977175981
10220,"Ada, OK Micro Area",59457,17911,771,4.30461727430071,151500,847,14801,9733,65.7590703330856,36778,4897,13.315025286856272,25124,28.77726476675689,38116,63.74750760835345,2.348095288068003,17.37590513170322,0.8657781509077552,0.104942806170637,0.05509497323958443,9.48420610767132,6.018469933886032,24.59334662608878,58.521355861055724,16.885297512855495
10300,"Adrian, MI Micro Area",65484,46700,2592,5.550321199143469,168100,924,38626,30376,78.64132967431264,94326,10451,11.079659902889977,69488,22.480140455906056,99263,85.4940914540161,2.075294923586835,0.11081671922065622,0.3082719643774619,0.04029698880751136,0.12794293946384858,3.3164421788581846,8.526842831669404,20.663288435771637,59.87628824436094,19.460423319867424
10380,"Aguadilla-Isabela, PR Metro Area",19455,104642,14689,14.03738460656333,109300,476,111556,72740,65.20491950231275,306705,151045,49.24764839177712,229192,22.852455583091906,308919,1.9794832949737633,0.12171475370566394,0.027839012815657177,0.03949255306407181,0,0.22918629155215445,0.3324496065311619,97.26983448735753,16.98115039864819,60.559564157594714,22.4592854437571
10420,"Akron, OH Metro Area",68647,374210,19931,5.326153763929344,185800,962,292223,197949,67.7390212269397,684199,83213,12.162104884689981,487995,33.95833973708747,700578,77.81417629443116,11.715469226838412,0.06337624076120005,3.4360199720801967,0.006994224768690995,0.3278721284425146,4.28203569052982,2.3540562221479977,20.18361981107029,61.510495619331465,18.305884569598245
10460,"Alamogordo, NM Micro Area",50833,29547,2440,8.2580295799912,139100,882,23832,15649,65.66381336018799,64332,12457,19.363613753652924,44772,20.9863307424283,67850,46.88725128960943,3.469417833456153,5.93515106853353,1.1893883566691232,0.06632277081798084,0.4112011790714812,3.083271923360354,38.95799557848195,22.268238761974946,60.72218128224024,17.00957995578482
10500,"Albany, GA Metro Area",53173,67295,5394,8.01545434281893,139900,912,57043,32360,56.729134161948004,142224,30866,21.70238497018787,97010,22.64096484898464,147716,40.640824284437706,52.414091906090064,0.10493108397194616,1.3058842643992528,0.019632267323783474,0.2308483847382816,2.197459990793144,3.086327818245823,24.135503263018222,59.51894175309378,16.345554983888004
10540,"Albany-Lebanon, OR Metro Area",69523,61706,3825,6.198748906103134,319800,1160,49944,33445,66.965000800897,126135,15074,11.950687755182939,89890,20.437201023473133,128598,82.72912486974914,0.3522605328232165,0.34992768161246673,0.8437145212211697,0.14696962627723603,0.5404438638236987,5.094947044277516,9.942611860215555,22.121650414469897,58.8982721348699,18.980077450660197
10580,"Albany-Schenectady-Troy, NY Metro Area",83360,482858,23933,4.956529662965095,254100,1181,372919,237513,63.69023836275438,871777,91562,10.502915309763852,627234,40.05777748017486,901729,77.42625556015167,7.273360399854058,0.07751774646262902,4.753756394659593,0.03293672489184666,0.5626967747516161,4.207250737194878,5.666225662033715,19.159082163266348,62.756770604028475,18.08414723270517
10620,"Albemarle, NC Micro Area",60634,30075,1304,4.335827098919368,190700,816,23773,17797,74.86223867412612,60758,8369,13.774317785312224,44097,18.74277161711681,62723,79.74905537043827,11.208009820958818,0.04145209891108525,1.8828818774612184,0,0.004782934489740606,2.338854965483156,4.774962932257704,21.500884842880602,59.604929611147426,18.894185545971972
10660,"Albert Lea, MN Micro Area",65679,15376,669,4.350936524453694,154700,803,12890,10100,78.35531419705197,30330,2895,9.545004945598418,21959,17.07272644473792,30857,82.82399455553035,1.118060731762647,0.11018569530414492,2.945846971513757,0.02592604595391645,0.012963022976958226,2.3203811128755225,10.642641864082703,21.85889749489581,55.77988786985125,22.361214635252942
10700,"Albertville, AL Micro Area",58272,43136,1641,3.8042470326409497,165600,746,35930,27083,75.3771221820206,96335,15992,16.600404837286554,64995,21.421647819063004,97923,79.09275655361866,2.728674570836269,0.13173616004411628,0.6076202730716992,0.07965442235225637,0.18994516099384212,2.1057361396199052,15.06387671946325,25.247388254036334,57.51151414887208,17.241097597091592
10740,"Albuquerque, NM Metro Area",63971,453513,25575,5.639309126750501,242600,1035,367877,249016,67.69001595642021,904465,140829,15.57042008259026,636574,34.24283743916654,915968,37.21822159726104,2.2100117034656233,5.027686556735606,2.208483265790945,0.05731641280044718,0.4848422652319732,2.9362379471771938,49.85720025153717,21.45162276411403,60.967086186417,17.581291049468977
10760,"Alexander City, AL Micro Area",53054,21540,1992,9.24791086350975,122900,698,20437,15658,76.61594167441406,50492,7928,15.701497266893766,37606,16.54257299367122,51580,67.73361768127181,27.233423807677394,0.06785575804575417,0.3683598293912369,0,0.22489336952307096,1.8631252423419928,2.5087243117487397,19.51919348584723,57.78984102365258,22.690965490500194
