year,GEOID,sports_team_count,has_NFL,has_NBA,has_MLB,has_NHL,has_pro_team,power4_school_count,has_power4_school,mlb_avg_temp,mlb_win_pct,mlb_make_playoffs,mlb_make_playoffs_prev,mlb_murder_rate,nfl_avg_temp,nfl_win_pct,nfl_make_playoffs,nfl_make_playoffs_prev,nfl_murder_rate,nhl_avg_temp,nhl_win_pct,nhl_make_playoffs,nhl_make_playoffs_prev,nhl_murder_rate,cfb_avg_temp,cfb_win_pct,cfb_make_playoffs,cfb_make_playoffs_prev,cfb_murder_rate,median_household_income,labor_force,unemployed,unemployment_rate,median_home_value,median_gross_rent,housing_units,owner_occupied,homeownership_rate,poverty_universe,below_poverty,poverty_rate,edu_universe_25plus,bachelors_plus_rate,total_population,race_white_nonhispanic_rate,race_black_nonhispanic_rate,race_aian_nonhispanic_rate,race_asian_nonhispanic_rate,race_nhpi_nonhispanic_rate,race_other_nonhispanic_rate,race_two_plus_nonhispanic_rate,hispanic_or_latino_rate,pop_under_18_rate,pop_18_to_64_rate,pop_65plus_rate
2012,11460,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.615,0,0,1.68,59063,186321,16636,8.928676853387433,200300,893,134883,82938,61.48884588865906,326040,47743,14.643295301190037,214432,50.84968661393822,346010,72.06959336435364,12.04473859137019,0.19363602208028668,7.885032224502182,0.007514233692667842,0.18352070749400307,3.570128030981764,4.0458368255252735,20.68032715817462,69.06043177942834,10.259241062397042
2012,12020,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.857,0,0,3.68,41035,92387,6938,7.509714570231743,166100,766,66530,38597,58.01442958064031,181601,47553,26.18542849433648,111172,34.7263699492678,193309,67.78784226290551,19.115509365833976,0.08380365114919636,3.121944658551852,0.0062076778629034345,0.1800226580241996,1.7800516271875597,7.924618098484809,20.87435142698995,68.87108204998216,10.254566523027899
2012,12060,3,1,1,1,0,1,0,0,63,94,1,1,17.4,63,0.813,1,1,16.24,NA,NA,0,0,NA,NA,0.5,0,0,16.81,57470,2803000,304336,10.857509810916875,177300,949,1901344,1262980,66.42564417590926,5202028,753966,14.493693613336953,3407578,34.88715445398462,5291701,50.78365160843366,31.937443177534032,0.19564597470643183,4.86869911962146,0.04038398994954553,0.24895586504226144,1.6086887751216479,10.316531489590965,26.346556617616905,64.57507708768881,9.078366294694277
2012,12220,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.25,0,0,2.88,43189,71251,6839,9.598461775975075,149300,743,55350,34890,63.03523035230353,135639,28564,21.058840009141914,80386,31.269126464807307,140938,69.6625466517192,22.66528544466361,0.21569768266897502,2.7203451162922705,0.04753863400928068,0.10501071393094837,1.271481076785537,3.3120946799301816,22.247371184492472,68.60960138500617,9.143027430501355
2012,12420,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.692,0,0,3.02,59646,953224,70496,7.39553347376902,189200,965,648412,378263,58.33682905313289,1695700,248360,14.646458689626703,1097660,40.0016398520489,1731777,54.60345067523128,7.189551541566841,0.22474025235350742,4.800560349282847,0.05116132157893308,0.16815098017816382,1.6080014921089725,31.354383387699457,25.19036804392251,66.6134842996529,8.196147656424586
2012,12580,2,1,0,1,0,1,0,0,56,93,1,0,43.59,56,0.625,1,1,42.48,NA,NA,0,0,NA,NA,NA,0,0,NA,68616,1481097,117542,7.936144627934564,289400,1100,1026048,689099,67.16050321232535,2647944,281330,10.624469399654977,1825670,35.46336413481078,2715650,59.9582420415002,28.36230736656049,0.2035240181908567,4.573048809677241,0.048864912636017166,0.23427172131902121,2.064920000736472,4.5548211293797065,22.93520888185149,64.32283247104745,12.741958647101063
2012,12940,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.769,0,0,19.3,51383,409110,30115,7.361100926401212,157100,787,293820,203299,69.19168198216596,776665,128588,16.556430378605963,509733,26.477587285892813,802389,57.95081936566927,35.473193176875554,0.2142352400145067,1.8135841842298435,0.02218375376531832,0.13559507919475466,1.03590652414228,3.354482676108471,24.595800789891186,64.49141251936405,10.912786690744763
2012,13980,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.538,0,0,0.28,43131,80302,5907,7.3559811710791765,159000,725,62363,37765,60.556740374901786,147743,32441,21.957723885395588,94215,30.018574536963328,162708,87.9821520761118,4.308946087469578,0.15057649285837205,3.5314797059763503,0.024583917201366864,0.25690193475428375,1.5475575878260441,2.197802197802198,17.04280059984758,70.63881308847752,12.318386311674901
2012,14020,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.333,0,0,1.61,40240,97794,7801,7.976972002372333,130300,750,75447,45999,60.96862698318024,177123,38708,21.853740056345025,113238,32.521768310991014,192663,89.1489284398146,2.292604184508702,0.23823982809361424,3.982601745015909,0.03840903546607288,0.29014393007479383,1.6235603099712972,2.3855125270550133,18.2697248563554,69.93870125556023,11.791573888084375
2012,14460,4,1,1,1,1,1,0,0,50,69,0,0,3.88,50,0.75,1,1,4.09,50,0.646,1,1,4.08,NA,0.167,0,0,1.37,72769,2570531,203037,7.898640397645466,366400,1184,1751169,1090987,62.30049755334864,4415784,443683,10.047660845729773,3109959,42.819374789185325,4563673,75.05320823818884,6.870233691151842,0.10638360811565596,6.550863745057983,0.02140819467126589,0.6809865649883329,1.6543911012029127,9.062524856623163,21.52971959209172,65.28338029477571,13.186900113132557
