GEOID,NAME,sports_name,sports_team_count,has_NFL,has_NBA,has_MLB,has_NHL,has_pro_team,power4_school_count,has_power4_school,power4_school_list
11460,"Ann Arbor, MI Metro Area",NA,0,0,0,0,0,0,1,1,Michigan
12020,"Athens-Clarke County, GA Metro Area",NA,0,0,0,0,0,0,1,1,Georgia
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area","Atlanta-Sandy Springs-Roswell, GA Metro Area",3,1,1,1,0,1,0,0,NA
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area","Atlanta-Sandy Springs-Roswell, GA Metro Area",3,1,1,1,0,1,1,1,Georgia Tech
12060,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","Atlanta-Sandy Springs-Roswell, GA Metro Area",3,1,1,1,0,1,0,0,NA
12220,"Auburn-Opelika, AL Metro Area",NA,0,0,0,0,0,0,1,1,Auburn
12420,"Austin-Round Rock-San Marcos, TX Metro Area",NA,0,0,0,0,0,0,1,1,Texas
12580,"Baltimore-Towson, MD Metro Area","Baltimore-Columbia-Towson, MD Metro Area",2,1,0,1,0,1,0,0,NA
12580,"Baltimore-Columbia-Towson, MD Metro Area","Baltimore-Columbia-Towson, MD Metro Area",2,1,0,1,0,1,0,0,NA
12940,"Baton Rouge, LA Metro Area",NA,0,0,0,0,0,0,1,1,LSU
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",NA,0,0,0,0,0,0,1,1,Virginia Tech
14020,"Bloomington, IN Metro Area",NA,0,0,0,0,0,0,1,1,Indiana
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area",4,1,1,1,1,1,0,0,NA
14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area",4,1,1,1,1,1,1,1,Boston College
14500,"Boulder, CO Metro Area",NA,0,0,0,0,0,0,1,1,Colorado
15380,"Buffalo-Niagara Falls, NY Metro Area","Buffalo-Cheektowaga, NY Metro Area",2,1,0,0,1,1,0,0,NA
15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","Buffalo-Cheektowaga, NY Metro Area",2,1,0,0,1,1,0,0,NA
15380,"Buffalo-Cheektowaga, NY Metro Area","Buffalo-Cheektowaga, NY Metro Area",2,1,0,0,1,1,0,0,NA
16580,"Champaign-Urbana, IL Metro Area",NA,0,0,0,0,0,0,1,1,Illinois
16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area","Charlotte-Concord-Gastonia, NC-SC Metro Area",2,1,1,0,0,1,0,0,NA
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area","Charlotte-Concord-Gastonia, NC-SC Metro Area",2,1,1,0,0,1,0,0,NA
16820,"Charlottesville, VA Metro Area",NA,0,0,0,0,0,0,1,1,Virginia
16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area","Chicago-Naperville-Elgin, IL-IN Metro Area",5,1,1,1,1,1,0,0,NA
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago-Naperville-Elgin, IL-IN Metro Area",5,1,1,1,1,1,0,0,NA
16980,"Chicago-Naperville-Elgin, IL-IN Metro Area","Chicago-Naperville-Elgin, IL-IN Metro Area",5,1,1,1,1,1,1,1,Northwestern
17140,"Cincinnati-Middletown, OH-KY-IN Metro Area","Cincinnati, OH-KY-IN Metro Area",2,1,0,1,0,1,0,0,NA
17140,"Cincinnati, OH-KY-IN Metro Area","Cincinnati, OH-KY-IN Metro Area",2,1,0,1,0,1,1,1,Cincinnati
17410,"Cleveland, OH Metro Area","Cleveland, OH Metro Area",3,1,1,1,0,1,0,0,NA
17780,"College Station-Bryan, TX Metro Area",NA,0,0,0,0,0,0,1,1,Texas A&M
17860,"Columbia, MO Metro Area",NA,0,0,0,0,0,0,1,1,Missouri
17900,"Columbia, SC Metro Area",NA,0,0,0,0,0,0,1,1,South Carolina
18140,"Columbus, OH Metro Area","Columbus, OH Metro Area",1,0,0,0,1,1,1,1,Ohio State
19100,"Dallas-Fort Worth-Arlington, TX Metro Area","Dallas-Fort Worth-Arlington, TX Metro Area",4,1,1,1,1,1,2,1,SMU; TCU
19740,"Denver-Aurora-Broomfield, CO Metro Area","Denver-Aurora-Centennial, CO Metro Area",4,1,1,1,1,1,0,0,NA
19740,"Denver-Aurora-Lakewood, CO Metro Area","Denver-Aurora-Centennial, CO Metro Area",4,1,1,1,1,1,0,0,NA
19740,"Denver-Aurora-Centennial, CO Metro Area","Denver-Aurora-Centennial, CO Metro Area",4,1,1,1,1,1,0,0,NA
19820,"Detroit-Warren-Livonia, MI Metro Area","Detroit-Warren-Dearborn, MI Metro Area",4,1,1,1,1,1,0,0,NA
19820,"Detroit-Warren-Dearborn, MI Metro Area","Detroit-Warren-Dearborn, MI Metro Area",4,1,1,1,1,1,0,0,NA
20500,"Durham-Chapel Hill, NC Metro Area",NA,0,0,0,0,0,0,2,1,Duke; North Carolina
21660,"Eugene-Springfield, OR Metro Area",NA,0,0,0,0,0,0,1,1,Oregon
22220,"Fayetteville-Springdale-Rogers, AR Metro Area",NA,0,0,0,0,0,0,1,1,Arkansas
23540,"Gainesville, FL Metro Area",NA,0,0,0,0,0,0,1,1,Florida
24580,"Green Bay, WI Metro Area","Green Bay, WI Metro Area",1,1,0,0,0,1,0,0,NA
26420,"Houston-Sugar Land-Baytown, TX Metro Area","Houston-Pasadena-The Woodlands, TX Metro Area",3,1,1,1,0,1,0,0,NA
