"GEOID","NAME","team_count","has_NFL","has_NBA","has_MLB","has_NHL","has_team"
10180,"Abilene, TX Metro Area",0,0,0,0,0,0
10420,"Akron, OH Metro Area",0,0,0,0,0,0
10500,"Albany, GA Metro Area",0,0,0,0,0,0
10540,"Albany, OR Metro Area",0,0,0,0,0,0
10580,"Albany-Schenectady-Troy, NY Metro Area",0,0,0,0,0,0
10740,"Albuquerque, NM Metro Area",0,0,0,0,0,0
10780,"Alexandria, LA Metro Area",0,0,0,0,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,0,0,0,0,0
11020,"Altoona, PA Metro Area",0,0,0,0,0,0
11100,"Amarillo, TX Metro Area",0,0,0,0,0,0
11180,"Ames, IA Metro Area",0,0,0,0,0,0
11200,"Amherst Town-Northampton, MA Metro Area",0,0,0,0,0,0
11260,"Anchorage, AK Metro Area",0,0,0,0,0,0
11460,"Ann Arbor, MI Metro Area",0,0,0,0,0,0
11500,"Anniston-Oxford, AL Metro Area",0,0,0,0,0,0
11540,"Appleton, WI Metro Area",0,0,0,0,0,0
11700,"Asheville, NC Metro Area",0,0,0,0,0,0
12020,"Athens-Clarke County, GA Metro Area",0,0,0,0,0,0
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",3,1,1,1,0,1
12100,"Atlantic City-Hammonton, NJ Metro Area",0,0,0,0,0,0
12220,"Auburn-Opelika, AL Metro Area",0,0,0,0,0,0
12260,"Augusta-Richmond County, GA-SC Metro Area",0,0,0,0,0,0
12420,"Austin-Round Rock-San Marcos, TX Metro Area",0,0,0,0,0,0
12540,"Bakersfield-Delano, CA Metro Area",0,0,0,0,0,0
12580,"Baltimore-Columbia-Towson, MD Metro Area",2,1,0,1,0,1
12620,"Bangor, ME Metro Area",0,0,0,0,0,0
12700,"Barnstable Town, MA Metro Area",0,0,0,0,0,0
12940,"Baton Rouge, LA Metro Area",0,0,0,0,0,0
12980,"Battle Creek, MI Metro Area",0,0,0,0,0,0
13020,"Bay City, MI Metro Area",0,0,0,0,0,0
13140,"Beaumont-Port Arthur, TX Metro Area",0,0,0,0,0,0
13220,"Beckley, WV Metro Area",0,0,0,0,0,0
13380,"Bellingham, WA Metro Area",0,0,0,0,0,0
13460,"Bend, OR Metro Area",0,0,0,0,0,0
13740,"Billings, MT Metro Area",0,0,0,0,0,0
13780,"Binghamton, NY Metro Area",0,0,0,0,0,0
13820,"Birmingham, AL Metro Area",0,0,0,0,0,0
13900,"Bismarck, ND Metro Area",0,0,0,0,0,0
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",0,0,0,0,0,0
14010,"Bloomington, IL Metro Area",0,0,0,0,0,0
14020,"Bloomington, IN Metro Area",0,0,0,0,0,0
14260,"Boise City, ID Metro Area",0,0,0,0,0,0
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4,1,1,1,1,1
14500,"Boulder, CO Metro Area",0,0,0,0,0,0
14540,"Bowling Green, KY Metro Area",0,0,0,0,0,0
14580,"Bozeman, MT Metro Area",0,0,0,0,0,0
14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",0,0,0,0,0,0
14860,"Bridgeport-Stamford-Danbury, CT Metro Area",0,0,0,0,0,0
15180,"Brownsville-Harlingen, TX Metro Area",0,0,0,0,0,0
15260,"Brunswick-St. Simons, GA Metro Area",0,0,0,0,0,0
15380,"Buffalo-Cheektowaga, NY Metro Area",2,1,0,0,1,1
15500,"Burlington, NC Metro Area",0,0,0,0,0,0
15540,"Burlington-South Burlington, VT Metro Area",0,0,0,0,0,0
15940,"Canton-Massillon, OH Metro Area",0,0,0,0,0,0
15980,"Cape Coral-Fort Myers, FL Metro Area",0,0,0,0,0,0
16020,"Cape Girardeau, MO-IL Metro Area",0,0,0,0,0,0
16180,"Carson City, NV Metro Area",0,0,0,0,0,0
16220,"Casper, WY Metro Area",0,0,0,0,0,0
16300,"Cedar Rapids, IA Metro Area",0,0,0,0,0,0
16540,"Chambersburg, PA Metro Area",0,0,0,0,0,0
16580,"Champaign-Urbana, IL Metro Area",0,0,0,0,0,0
16620,"Charleston, WV Metro Area",0,0,0,0,0,0
16700,"Charleston-North Charleston, SC Metro Area",0,0,0,0,0,0
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2,1,1,0,0,1
16820,"Charlottesville, VA Metro Area",0,0,0,0,0,0
16860,"Chattanooga, TN-GA Metro Area",0,0,0,0,0,0
16940,"Cheyenne, WY Metro Area",0,0,0,0,0,0
16980,"Chicago-Naperville-Elgin, IL-IN Metro Area",5,1,1,1,1,1
17020,"Chico, CA Metro Area",0,0,0,0,0,0
17140,"Cincinnati, OH-KY-IN Metro Area",2,1,0,1,0,1
17300,"Clarksville, TN-KY Metro Area",0,0,0,0,0,0
17410,"Cleveland, OH Metro Area",3,1,1,1,0,1
17420,"Cleveland, TN Metro Area",0,0,0,0,0,0
17660,"Coeur d'Alene, ID Metro Area",0,0,0,0,0,0
17780,"College Station-Bryan, TX Metro Area",0,0,0,0,0,0
